公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
银客未来科技（北京）有限公司,INK 银客集团,500-2000人,C轮,海淀区,算法专家,5-10年,本科,60k-100k,"七险一金,期权,弹性工作,牛人团队"
天创信用服务有限公司,天创信用,150-500人,B轮,朝阳区,算法工程师,1-3年,本科,20k-35k,弹性工作 不打卡 领导nice 福利好
北京金山云网络技术有限公司,金山云,500-2000人,D轮及以上,海淀区,算法实习生,应届毕业生,本科,3k-5k,"免费三餐,班车接送,发展前景大"
小狗电器互联网科技（北京）股份有限公司,小狗电器,150-500人,不需要融资,朝阳区,算法工程师,1-3年,硕士,25k-35k,"五险一金,餐补,通讯补,双休"
北京瓴岳信息技术有限公司,洋钱罐,150-500人,不需要融资,朝阳区,算法工程师,1-3年,硕士,15k-30k,"技术大牛多,年底旅游,弹性工作,下午茶"
北京斗米优聘科技发展有限公司,斗米,500-2000人,B轮,海淀区,算法专家,3-5年,大专,30k-50k,"六险一金,发展空间大"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,无人车-控制算法,3-5年,硕士,25k-40k,技术大牛
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,高级算法工程师/算法专家,1-3年,本科,20k-40k,"15薪,六险一金,空间大,大牛多"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,算法工程师-广告系统,应届毕业生,本科,20k-40k,弹性工作，免费三餐，租房补贴，健身瑜伽
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,海淀区,算法/数据工程师,不限,本科,23k-45k,"技术,平台"
百融金融信息服务股份有限公司,百融金服,500-2000人,C轮,海淀区,算法工程师,应届毕业生,本科,15k-20k,"福利好,环境好,扁平化,领导是大牛"
北京推想科技有限公司,推想科技,150-500人,B轮,朝阳区,算法经理 (MJ000181),1-3年,硕士,30k-60k,"人工智能,弹性不打卡,团队年轻,年终奖丰厚"
北京五八到家信息技术有限公司,58到家,50-150人,天使轮,朝阳区,算法专家,5-10年,本科,30k-50k,"平台强大,待遇优厚,扁平管理"
北京智慧星光信息技术有限公司,智慧星光,500-2000人,不需要融资,海淀区,算法工程师,不限,硕士,12k-24k,"发展潜力大,团队优秀,加班少"
北京领创智信科技有限公司,北京领创智信科技有限公司,500-2000人,B轮,朝阳区,算法工程师,3-5年,本科,25k-35k,"高能团队,发展空间,优质福利,鼓励创新"
北京善义善美科技有限公司,人人车,2000人以上,D轮及以上,朝阳区,算法-数据挖掘,3-5年,硕士,35k-70k,年底双薪 弹性办公 技术大牛
北京全民快乐科技有限公司,全民快乐,150-500人,B轮,东城区,算法总监,5-10年,硕士,50k-75k,新融资 海外市场
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,2000人以上,C轮,海淀区,算法／策略产品经理,1-3年,本科,20k-35k,期权奖励、晋升空间、行业独角兽
