公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
悠易互通（北京）广告有限公司,悠易,150-500人,C轮,朝阳区,算法工程师,1-3年,本科,20k-35k,六险一金 海外年会 股票期权 节日福利
北京安易信科技有限公司,安易信,50-150人,上市公司,海淀区,算法工程师,不限,硕士,20k-40k,"福利多多,扁平化管理,年底多金,五险一金"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,音效处理算法工程师-抖音短视频,3-5年,本科,25k-50k,租房补贴，扁平管理，职业大牛，团队氛围好
清研讯科（北京）科技有限公司,清研讯科,50-150人,不需要融资,海淀区,算法工程师--定位类,1-3年,本科,20k-30k,"清华团队,股票期权,行业领跑者,福利健全"
京东金融,京东金融,2000人以上,上市公司,大兴区,算法工程师,3-5年,本科,25k-50k,"班车,餐补"
中信百信银行股份有限公司,百信银行,150-500人,不需要融资,朝阳区,算法工程师,不限,硕士,30k-60k,"算法,数据挖掘,机器学习,深度学习"
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,算法工程师,5-10年,本科,20k-40k,"福利好,薪资高,平台大,环境棒"
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,海淀区,算法工程师,3-5年,本科,25k-50k,"核心业务,平台大,牛人多,期权激励"
便利蜂商贸有限公司,便利蜂,2000人以上,不需要融资,朝阳区,算法工程师,3-5年,本科,30k-60k,"六险一金,快速增长"
北京智加智行科技有限公司,智加科技,50-150人,A轮,海淀区,算法工程师,1-3年,本科,25k-50k,"人工智能,自动驾驶,风口行业"
世纪禾光科技发展（北京）有限公司,敦煌网,500-2000人,D轮及以上,海淀区,算法实习生,不限,本科,3k-5k,弹性工作制
北京京东世纪贸易有限公司,京东物流,2000人以上,上市公司,大兴区,算法工程师,5-10年,本科,25k-40k,"算法,自动化"
巧达科技（北京）有限公司,巧达数据,50-150人,C轮,海淀区,算法工程师,1-3年,本科,16k-32k,"月餐补2k,年奖6个月,工作居住证,期权换现金"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,算法工程师,3-5年,本科,35k-65k,"核心业务,发展空间大,技术氛围好"
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,朝阳区,算法工程师,3-5年,硕士,35k-70k,"发展好,平台大,机会多,待遇好"
